sentence	aspect	polarity
i just love this ultrabook	laptop general	positive
i defenitly recommend it for anyone for office and home work	laptop miscellaneous	positive
It's ok.	laptop general	neutral
I find that it often gets very slow and I have to restart more than usual.	laptop operation performance	negative
It's light and easy to use, though.	laptop design features	positive
It's light and easy to use, though.	laptop usability	positive
I love this computer, this is my first ever Mac (I'm 21) and it took a little while to switch over from the OS I was used to, but it was a fast learning curve.	laptop general	positive
I love this computer, this is my first ever Mac (I'm 21) and it took a little while to switch over from the OS I was used to, but it was a fast learning curve.	os usability	neutral
The resolution is gorgeous, the computer is light, it does everything I need and the interface is pretty intuitive.	display quality	positive
The resolution is gorgeous, the computer is light, it does everything I need and the interface is pretty intuitive.	laptop design features	positive
The resolution is gorgeous, the computer is light, it does everything I need and the interface is pretty intuitive.	laptop general	positive
The resolution is gorgeous, the computer is light, it does everything I need and the interface is pretty intuitive.	os usability	positive
I love this computer!	laptop general	positive
However I am very upset that it doesn't have the superdrive built in!	laptop design features	negative
Supper east to use.	laptop usability	positive
Retina display is beautiful.	display general	positive
Also very quick laptop!	laptop operation performance	positive
Con: Hate that it has no disk drive.	laptop design features	negative
I am also glad it doesnt get too hot when left on for an extended period of time.	laptop quality	positive
The battery life is good, even with using high profile software like Sibelius 7 for a good half of the day.	battery operation performance	positive
Wonderful, super fast, lightweight computer	laptop design features	positive
Wonderful, super fast, lightweight computer	laptop general	positive
Wonderful, super fast, lightweight computer	laptop operation performance	positive
The New Macbook pro working, good user experience, fast speed, faster start up time.	laptop operation performance	positive
The New Macbook pro working, good user experience, fast speed, faster start up time.	laptop usability	positive
This is what I was looking for.	laptop general	positive
It has a wide screen and it's easy to use.	display design features	positive
It has a wide screen and it's easy to use.	laptop usability	positive
At my age, I need this kind of laptop.	laptop general	positive
Extremely slow.	laptop operation performance	negative
A masterpiece of crap.	laptop quality	negative
not durable .	laptop quality	negative
slow processor, just not it	cpu operation performance	negative
slow processor, just not it	laptop general	negative
I can't use the Trackpad very well, it's too sensitive, so I hooked up a mouse.	mouse operation performance	negative
I can't use the Trackpad very well, it's too sensitive, so I hooked up a mouse.	mouse usability	negative
External monitor worked easily.	laptop connectivity	positive
Been using Lenovo ThinkPad Edge laptops in our business for several years now and have no complaints about any of them.	laptop general	positive
They have held up well not just in our sales department, but also in our service department where they are exposed to dust, exhaust, grease, oil, and all manner of other non-computer-friendly substances.	laptop quality	positive
GENERAL, a quality laptop.	laptop quality	positive
The Lenovo software that comes preinstalled may qualify as bloatware but is easily removed if you're not interested in it.	laptop design features	neutral
The Lenovo software that comes preinstalled may qualify as bloatware but is easily removed if you're not interested in it.	laptop usability	positive
The Lenovo software that comes preinstalled may qualify as bloatware but is easily removed if you're not interested in it.	software general	neutral
Windows 7 rocks.	os general	positive
Computer runs very slow!	laptop operation performance	negative
Great Laptop!	laptop general	positive
Bigger screen than expected, laptop with a desktop design that is really nice to use for all types of usage, including programming/editing	display design features	positive
Bigger screen than expected, laptop with a desktop design that is really nice to use for all types of usage, including programming/editing	laptop design features	positive
Bigger screen than expected, laptop with a desktop design that is really nice to use for all types of usage, including programming/editing	laptop miscellaneous	positive
Bigger screen than expected, laptop with a desktop design that is really nice to use for all types of usage, including programming/editing	laptop usability	positive
One of the very few laptops still available with Win 7 Pro, multiple USB ports, and a DVD read/write drive.	laptop design features	positive
One of the very few laptops still available with Win 7 Pro, multiple USB ports, and a DVD read/write drive.	os general	positive
Only drawback is no LED to show when the hard drive is being accessed.	laptop design features	negative
Not a necessity, but something I've come to expect.	laptop design features	negative
Does what I need it to do and the price was right!	laptop general	positive
Does what I need it to do and the price was right!	laptop price	positive
Great laptop from Apple!	company general	positive
Great laptop from Apple!	laptop general	positive
Apple is unrivaled in terms of build quality and functionality.	company general	positive
Apple is unrivaled in terms of build quality and functionality.	laptop operation performance	positive
Apple is unrivaled in terms of build quality and functionality.	laptop quality	positive
The retina screen is absolutely beautiful and the touchpad is the best touchpad to date.	display general	positive
The retina screen is absolutely beautiful and the touchpad is the best touchpad to date.	mouse general	positive
The pair allow for seamless navigation throughout the whole interface.	laptop usability	positive
Battery life is astonishing given the processing power and high resolution display.	battery operation performance	positive
Battery life is astonishing given the processing power and high resolution display.	cpu operation performance	positive
Battery life is astonishing given the processing power and high resolution display.	display quality	positive
I can easily get 10 hours out of a full charge.	battery operation performance	positive
Overall, a high quality laptop and a great value considering all this computer has to offer.	laptop general	positive
Overall, a high quality laptop and a great value considering all this computer has to offer.	laptop price	positive
Overall, a high quality laptop and a great value considering all this computer has to offer.	laptop quality	positive
Well worth the extra cost.	laptop general	positive
Well worth the extra cost.	laptop price	neutral
Size is perfect and display is beautiful!	display general	positive
Size is perfect and display is beautiful!	laptop design features	positive
Excellent performance, especially given its price point.	laptop operation performance	positive
Excellent performance, especially given its price point.	laptop price	positive
The screen is wide and provides excellent clarity.	display design features	positive
The screen is wide and provides excellent clarity.	display quality	positive
It is not a small, compact laptop, but I won't be traveling via air often, so its size and weight is not a problem for me.	laptop design features	neutral
It is not a small, compact laptop, but I won't be traveling via air often, so its size and weight is not a problem for me.	laptop portability	neutral
I can appreciate why she recommended it!	laptop general	positive
Don't expect much in terms of performance from this laptop.	laptop operation performance	negative
It gets the job done in terms of having a computer that can browse the web, use Word/Excel, and the like.	laptop miscellaneous	positive
This laptop does NOT have an RJ-45 Ethernet adapter for wired network connection.	laptop connectivity	negative
This laptop does NOT have an RJ-45 Ethernet adapter for wired network connection.	laptop design features	negative
fast easy	laptop operation performance	positive
fast easy	laptop usability	positive
So far I do not have any trouble with it other than the picture quality is a bit poor.	display quality	negative
So far I do not have any trouble with it other than the picture quality is a bit poor.	laptop general	positive
I have had it over a month now and it works just fine.	laptop operation performance	positive
This laptop suits my needs: as i am currently studying online and just need a computer for that purpose.	laptop miscellaneous	positive
My daughter uses it for college too and it works great for both of us.	laptop miscellaneous	positive
So i gave this 4 stars but only because of the poor picture quality, other than that it is a great buy!	display quality	negative
So i gave this 4 stars but only because of the poor picture quality, other than that it is a great buy!	laptop general	positive
This laptop is absolutely horrible.	laptop general	negative
I bought it simply for Excel on Windows for work since I have a Macbook Air and literally the thing freezes and lags opening Excel or my web browser.	laptop operation performance	negative
There is a chance mine is defective but regardless I'm not going to try another one this is a terrible product.	laptop general	negative
I'd much rather bite the bullet and spend a little more for a product that actually meets minimum computing expectations for 2014.	laptop general	negative
I appreciate the effort to hit affordable pricing Dell but just not worth it.	laptop general	negative
I appreciate the effort to hit affordable pricing Dell but just not worth it.	laptop price	positive
It is slow and complicated and very disappointing	laptop general	negative
It is slow and complicated and very disappointing	laptop operation performance	negative
It is slow and complicated and very disappointing	laptop usability	negative
Great labtop..	laptop general	positive
not as fast as I would have liked it to be but everything else is great!	laptop general	positive
not as fast as I would have liked it to be but everything else is great!	laptop operation performance	negative
I've only had this computer for a few days an I already don't like it.	laptop general	negative
The battery life is a joke and it's causing other problems.	battery operation performance	negative
I will be returning it.	laptop general	negative
If people are writing bad reviews about this laptop then believe what they say.	laptop general	negative
This is an ok computer.	laptop general	neutral
The sound is disappointing.	multimedia devices quality	negative
No bass sound at all.	multimedia devices quality	negative
Maybe this one is just a dud.	laptop quality	negative
the computer is very wonderful.	laptop general	positive
was not aware it did not have a disk drive when i bought it or i would not of purchased it.	laptop design features	negative
it does have a habit of restarting itself when you try to do the log in pw. but over all. im very satisfied.	laptop general	positive
it does have a habit of restarting itself when you try to do the log in pw. but over all. im very satisfied.	laptop operation performance	negative
its very fast and very light.	laptop design features	positive
its very fast and very light.	laptop operation performance	positive
great product.	laptop general	positive
i am giviing it four stars instead of five because of no disk drive and the crashing	laptop design features	negative
i am giviing it four stars instead of five because of no disk drive and the crashing	laptop general	positive
i am giviing it four stars instead of five because of no disk drive and the crashing	laptop operation performance	negative
I absolutely love my Dell Inspiron!	laptop general	positive
It powers on/off very quickly, and it loads up automatically.	laptop operation performance	positive
The mouse click is a bit loud, but it really isn't a problem.	mouse quality	neutral
For $250, I highly recommend!!	laptop general	positive
For $250, I highly recommend!!	laptop price	positive
very poor quality lap top....	laptop quality	negative
I am returning it...	laptop general	negative
Slow	laptop operation performance	negative
GREAT value laptop!	laptop general	positive
GREAT value laptop!	laptop price	positive
I can't believe this was just $250	laptop price	positive
Speed is great, easy to set up and get going.	laptop operation performance	positive
Speed is great, easy to set up and get going.	laptop usability	positive
Very pleased so far.	laptop general	positive
It is very difficult to use this computer.	laptop usability	negative
Too many steps to get anywhere and hard to set up	laptop usability	negative
This things run smoothly for its price, and the battery life seems to go on forever.	battery operation performance	positive
This things run smoothly for its price, and the battery life seems to go on forever.	laptop operation performance	positive
This things run smoothly for its price, and the battery life seems to go on forever.	laptop price	neutral
I wasn't disappointed in its performance.	laptop operation performance	positive
All in all, it's well worth its price tag.	laptop general	positive
All in all, it's well worth its price tag.	laptop price	positive
Great laptop for the price.	laptop general	positive
Great laptop for the price.	laptop price	neutral
It was nearly impossible to find a laptop that had A) a side keyboard.	keyboard design features	positive
B) a DVD/CD player.	laptop design features	positive
C) a large hard drive instead of using the Cloud	hard disc design features	positive
D) was under $300 with shipping.	laptop price	positive
The only con is Windows effin 8.	os general	negative
Still giving it a 5 star rating because it is fast and a nice sized screen.	display design features	positive
Still giving it a 5 star rating because it is fast and a nice sized screen.	laptop general	positive
Still giving it a 5 star rating because it is fast and a nice sized screen.	laptop operation performance	positive
Great for web design and general work.	laptop miscellaneous	positive
Overall good but processing power isn't very good.	cpu operation performance	negative
Overall good but processing power isn't very good.	laptop general	positive
W7 Pro with W8 pro upgrade is nice, but it frequently freezes for a few seconds here and there.	os general	positive
W7 Pro with W8 pro upgrade is nice, but it frequently freezes for a few seconds here and there.	os operation performance	negative
I replaced stock drive with WD Black 7K drive and is still quite slow.	laptop operation performance	negative
Battery doesn't last long web browsing (2.5 hours maybe).	battery operation performance	negative
It has some bloat wear that I wish weren't there.	laptop design features	negative
It has some bloat wear that I wish weren't there.	software general	negative
It works fine for a PC in this price range.	laptop operation performance	positive
It works fine for a PC in this price range.	laptop price	neutral
I bought it for my parents (late 60s) and they love it - particularly the keyboard and screen.	display general	positive
I bought it for my parents (late 60s) and they love it - particularly the keyboard and screen.	keyboard general	positive
I bought it for my parents (late 60s) and they love it - particularly the keyboard and screen.	laptop general	positive
Terrific value for the money.	laptop general	positive
Terrific value for the money.	laptop price	neutral
Love the key layout and the built-in mouse pad - all work well and are properly sized.	keyboard design features	positive
Love the key layout and the built-in mouse pad - all work well and are properly sized.	keyboard operation performance	positive
Love the key layout and the built-in mouse pad - all work well and are properly sized.	mouse design features	positive
Love the key layout and the built-in mouse pad - all work well and are properly sized.	mouse operation performance	positive
Highly recommended.	laptop general	positive
works good but doesn't seem like it's made sturdy.	laptop operation performance	positive
works good but doesn't seem like it's made sturdy.	laptop quality	negative
kinda to light and plastic feeling.	laptop design features	negative
kinda to light and plastic feeling.	laptop quality	negative
Killer computer.	laptop general	positive
I would highly recommend this computer it is FAST!!!	laptop general	positive
I would highly recommend this computer it is FAST!!!	laptop operation performance	positive
Doesn't have touch screen but I have a tablet so that wasn't so important.	display design features	neutral
Look and feel is good.	laptop design features	positive
Look and feel is good.	laptop quality	positive
I am experiencing the system little slower than what I have expected.	laptop operation performance	negative
And processor feels pressured even though I run medium scale programs, watching the way exhaust speed increases.	cpu operation performance	negative
The hdd has a scratching noise.	hard disc quality	negative
The system sometimes lags a lot.	laptop operation performance	negative
I don't like it at all...	laptop general	negative
I can't put a protector to make presentation...	laptop connectivity	negative
A good value on a quality product.	laptop price	positive
A good value on a quality product.	laptop quality	positive
Easy setup, and delivers all the functions we need.	laptop operation performance	positive
Easy setup, and delivers all the functions we need.	laptop usability	positive
This laptop is amazing!	laptop general	positive
Despite the fact that there's no optical drive, everything is perfect.	laptop design features	neutral
Despite the fact that there's no optical drive, everything is perfect.	laptop general	positive
The screen resolution is crystal clear, the speakers are amazing, and the track pad is easy to use.	display quality	positive
The screen resolution is crystal clear, the speakers are amazing, and the track pad is easy to use.	mouse usability	positive
The screen resolution is crystal clear, the speakers are amazing, and the track pad is easy to use.	multimedia devices general	positive
The home page/startup is easy to navigate which is the one thing I was mainly concerned about.	os usability	positive
Internet is fast and reliable, battery life lasts a long time.	battery operation performance	positive
Internet is fast and reliable, battery life lasts a long time.	laptop connectivity	positive
I love this laptop!	laptop general	positive
LOOKS LIKE THIS DELL IS A PIECE OF CRAP.	laptop quality	negative
IT DOES NOT TURN ON - IF I TAKE THE BATTERY OUT IT MIGHT WORK, NOT SURE IF IT'S A BAD BATTERY OR COMPUTER!	laptop operation performance	negative
IT DOES NOT TURN ON - IF I TAKE THE BATTERY OUT IT MIGHT WORK, NOT SURE IF IT'S A BAD BATTERY OR COMPUTER!	laptop quality	negative
DO NOT RECOMMEND!	laptop general	negative
Awesome laptop!	laptop general	positive
Bootup time is amazing, battery life is decent and it has a great slim form factor.	battery operation performance	neutral
Bootup time is amazing, battery life is decent and it has a great slim form factor.	laptop design features	positive
Bootup time is amazing, battery life is decent and it has a great slim form factor.	laptop operation performance	positive
There is somewhat of a learning curve, but the operating system, and hardware of this Mac are great.	hardware general	positive
There is somewhat of a learning curve, but the operating system, and hardware of this Mac are great.	laptop usability	neutral
There is somewhat of a learning curve, but the operating system, and hardware of this Mac are great.	os general	positive
More than enough for my use.	laptop general	positive
The display is vibrant and clear, the keyboard is well designed and pleasant to type on;	display quality	positive
The display is vibrant and clear, the keyboard is well designed and pleasant to type on;	keyboard design features	positive
The display is vibrant and clear, the keyboard is well designed and pleasant to type on;	keyboard usability	positive
I even installed a windows partition to be able to run Windows software.	laptop usability	positive
Things just work, they are fluid, easy to use and understand, fast and work well.	laptop operation performance	positive
Things just work, they are fluid, easy to use and understand, fast and work well.	laptop usability	positive
This computer is absolutely perfect for web browsing, watching video, word processing, and that's about it.	laptop miscellaneous	positive
If you want a computer that plays games or any advanced tasks like editing video, this computer is NOT for you.	laptop miscellaneous	negative
Now when I say don't expect to play games on it, I mean it.	laptop miscellaneous	negative
Pretty much every major game save for Solitare won't even play on it due to the slower processor.	cpu operation performance	negative
Pretty much every major game save for Solitare won't even play on it due to the slower processor.	laptop miscellaneous	negative
Its also worth noting that there no bluetooth, no mircophone jack, no ethernet, no dvd/cd drive/burner, and no usb 3.0 ports.	laptop design features	negative
It DOES come with two usb 2.0 ports, a hdmi port, and a webcam.	laptop design features	neutral
The webcam is nothing special, its there if you need it.	multimedia devices general	neutral
Don't expect it to take good pictures or video.	multimedia devices quality	negative
The battery is pretty soild.	battery operation performance	positive
It lasts up to 5-6 hours with normal use.	battery operation performance	positive
The computer itself runs very quiet and is mostly cool to the touch.	laptop quality	positive
The only major negative to me is Windows 8.1 (though YMMV) and the Dell crapware installed.	laptop design features	negative
The only major negative to me is Windows 8.1 (though YMMV) and the Dell crapware installed.	os general	negative
The only major negative to me is Windows 8.1 (though YMMV) and the Dell crapware installed.	software general	negative
Not bad for the price.	laptop general	neutral
Not bad for the price.	laptop price	neutral
I needed an inexpensive laptop to do basic office work on that was lightweight and this fits the bill just fine.	laptop design features	positive
I needed an inexpensive laptop to do basic office work on that was lightweight and this fits the bill just fine.	laptop miscellaneous	positive
I needed an inexpensive laptop to do basic office work on that was lightweight and this fits the bill just fine.	laptop price	positive
Performance wise, it's a bit slow, but that's to be expected from a Celeron-class processor.	cpu operation performance	negative
Performance wise, it's a bit slow, but that's to be expected from a Celeron-class processor.	laptop operation performance	negative
I'm also not a fan of Windows 8, but fortunately I can install whatever I want on the laptop without issue.	laptop usability	positive
I'm also not a fan of Windows 8, but fortunately I can install whatever I want on the laptop without issue.	os general	negative
Love everything about this laptop!	laptop general	positive
Sound, quality and touchscreen are awesome!	display general	positive
Sound, quality and touchscreen are awesome!	laptop quality	positive
Sound, quality and touchscreen are awesome!	multimedia devices quality	positive
I would definitely recommend this!!	laptop general	positive
I love this laptop to the moon.	laptop general	positive
My favorite colors black and red, the matte material and the red backlight of the keyboard.	keyboard design features	positive
My favorite colors black and red, the matte material and the red backlight of the keyboard.	laptop design features	positive
My favorite colors black and red, the matte material and the red backlight of the keyboard.	laptop quality	positive
The sound is great and it's fast.	laptop operation performance	positive
The sound is great and it's fast.	multimedia devices quality	positive
The laptop is beautiful, not extremely light but thin enough and wide screen with a full keyboard.	display design features	positive
The laptop is beautiful, not extremely light but thin enough and wide screen with a full keyboard.	keyboard design features	positive
The laptop is beautiful, not extremely light but thin enough and wide screen with a full keyboard.	laptop design features	positive
The touch screen response is fast and it picks up bluetooth and wifi FAST.	display operation performance	positive
The touch screen response is fast and it picks up bluetooth and wifi FAST.	laptop connectivity	positive
Microsoft Office is a 30 day trial, a number of games and apps are already preloaded.	laptop design features	neutral
Microsoft Office is a 30 day trial, a number of games and apps are already preloaded.	software miscellaneous	neutral
It's exactly like the picture and I AM SATISFIED.	laptop general	positive
It's exactly like the picture and I AM SATISFIED.	laptop miscellaneous	positive
Great laptop light and very versatile	laptop design features	positive
Great laptop light and very versatile	laptop general	positive
Great laptop light and very versatile	laptop usability	positive
it was easy to set up.	laptop usability	positive
I like the number pad for work so that's nice	keyboard design features	positive
This is going to be random and unorganized, but here are my thoughts on the laptop:So far so good after a month.	laptop general	positive
It took some getting used to on the Widows 8.1, after being an XP user for many years.	os usability	neutral
Everything seems to be running smoothly.	laptop operation performance	positive
Only downfall is the preloaded McAfee and other software.	laptop design features	negative
Only downfall is the preloaded McAfee and other software.	software general	negative
They are fine while the free subscription is going, but a pain when they start asking you to spend money every time you login.	software general	positive
They are fine while the free subscription is going, but a pain when they start asking you to spend money every time you login.	software miscellaneous	negative
Device is light weight, quiet during operation and produces little to no heat.	laptop design features	positive
Device is light weight, quiet during operation and produces little to no heat.	laptop quality	positive
It has a quick start up and shut down time.	laptop operation performance	positive
The display is good quality.	display quality	positive
Just wish there were more USB ports.	laptop design features	negative
I AM IMPRESSED WITH THIS COMPUTER, INEXPENSIVE BUT QUALITY.	laptop general	positive
I AM IMPRESSED WITH THIS COMPUTER, INEXPENSIVE BUT QUALITY.	laptop price	positive
I AM IMPRESSED WITH THIS COMPUTER, INEXPENSIVE BUT QUALITY.	laptop quality	positive
LOVE THE SIZE, I AM USING THIS FOR WORK, I AM A NURSE AND HAVE TO CHART DAILY, THIS IS EASY TO USE AND I HAVE NOT HAD ANY PROBLEMS WITH IT.	laptop design features	positive
LOVE THE SIZE, I AM USING THIS FOR WORK, I AM A NURSE AND HAVE TO CHART DAILY, THIS IS EASY TO USE AND I HAVE NOT HAD ANY PROBLEMS WITH IT.	laptop general	positive
LOVE THE SIZE, I AM USING THIS FOR WORK, I AM A NURSE AND HAVE TO CHART DAILY, THIS IS EASY TO USE AND I HAVE NOT HAD ANY PROBLEMS WITH IT.	laptop usability	positive
It's so damn good I bought 2 :D	laptop general	positive
If you're the type of person that just likes to browse the Internet and enjoy media and do light work with Microsoft office, this is the laptop for you.	laptop miscellaneous	positive
Don't expect it to be a champion performer so if you want to play games or whatever this is not the computer for you.	laptop miscellaneous	negative
Don't expect it to be a champion performer so if you want to play games or whatever this is not the computer for you.	laptop operation performance	neutral
It's extremely light weight and slim because of the lack of an optical drive (who uses those anymore anyways) so it easily fits into any college students bag.	laptop design features	positive
It's extremely light weight and slim because of the lack of an optical drive (who uses those anymore anyways) so it easily fits into any college students bag.	laptop portability	positive
I would recommend this to anyone who doesn't need much out of a computer.	laptop miscellaneous	positive
I am very happy with this computer.	laptop general	positive
It is exactly what I expected, and the price is excellent!	laptop general	positive
It is exactly what I expected, and the price is excellent!	laptop price	positive
You are getting what you pay for and in my opinion, it is worth more.	laptop general	positive
You are getting what you pay for and in my opinion, it is worth more.	laptop price	positive
Been using it for about 4 hours now and it seems plenty fast and does everything I need it to do.	laptop general	positive
Been using it for about 4 hours now and it seems plenty fast and does everything I need it to do.	laptop operation performance	positive
Its a very basic laptop.	laptop miscellaneous	neutral
I thought it would have a CD-rom drive, but there isnt one.	laptop design features	negative
Also wish it had a port to plug an internet cord into it because sometimes my wifi router likes to not work.	laptop connectivity	negative
Also wish it had a port to plug an internet cord into it because sometimes my wifi router likes to not work.	laptop design features	negative
But for the price its good.	laptop general	positive
But for the price its good.	laptop price	neutral
Other than the slow CPU it works great for everyday use.	cpu operation performance	negative
Other than the slow CPU it works great for everyday use.	laptop miscellaneous	positive
Heavy gaming is definitely not it's strong point.	laptop miscellaneous	negative
The cover is a soft rubber texture without the friction.	laptop quality	positive
Slick design and looks great.	laptop design features	positive
The machine is easy to use, has the power it needs for personal use and some light professional work.	laptop miscellaneous	positive
The machine is easy to use, has the power it needs for personal use and some light professional work.	laptop usability	positive
It could be lighter, but couldn't everything.	laptop design features	neutral
The battery seems adequate for most uses ~ 4.5 hour use/charge.	battery operation performance	positive
Screen is clear and bright.	display quality	positive
Glad it has the DVD drive.	laptop design features	positive
Perfectly adequate.	laptop general	positive
Great PC.	laptop general	positive
The i7 is incredibly fast, the RAM makes it proper for several games (not on maximum quality).	laptop miscellaneous	positive
The i7 is incredibly fast, the RAM makes it proper for several games (not on maximum quality).	laptop operation performance	positive
The i7 is incredibly fast, the RAM makes it proper for several games (not on maximum quality).	memory design features	positive
Great sound quality too.	multimedia devices quality	positive
Nice laptop.	laptop general	positive
I use it for school, its quick and has everything I need on it.	laptop general	positive
I use it for school, its quick and has everything I need on it.	laptop operation performance	positive
Good battery life as well.	battery operation performance	positive
Wifi card not working right out of the box.	hardware operation performance	negative
Wifi card not working right out of the box.	hardware quality	negative
Wifi card not working right out of the box.	laptop connectivity	negative
Dealing with HP support is a ridiculous and painful experience.	support quality	negative
I have spent more than 2.5 hours on the phone with them (over 4 different calls), only to get no where.	support quality	negative
Now I'm looking into the return process, which I'm sure will just be loads of fun, if my prior experience is any indication.	support quality	negative
Seriously, save yourself the hassle and purchase from a different company.	company general	negative
Used to love HP products, but this has soured me on the whole company.	company general	negative
Used to love HP products, but this has soured me on the whole company.	laptop general	negative
By far the best laptop I've ever had.	laptop general	positive
Its fast, powerful, screen display is top notch and the battery life is excellent for a laptop of this size.	battery operation performance	positive
Its fast, powerful, screen display is top notch and the battery life is excellent for a laptop of this size.	display quality	positive
Its fast, powerful, screen display is top notch and the battery life is excellent for a laptop of this size.	laptop design features	neutral
Its fast, powerful, screen display is top notch and the battery life is excellent for a laptop of this size.	laptop operation performance	positive
My only concern is that since the battery is not external, I will not be able to change it out once it starts not to hold a good charge over a length of time.	laptop design features	negative
I wonder if thats just Apples way of saying its time to get the newest and greatest laptop 3-4 years from now lol.	company general	neutral
The product is average and works well.	laptop general	neutral
The product is average and works well.	laptop operation performance	positive
Works at a decent speed.	laptop operation performance	neutral
The mouse pad however is very loud which is why i gave it four stars.	mouse quality	negative
I had a great experience purchasing my Dell Inspiron i3531-1200BK 15.6-Inch Laptop.	laptop general	positive
My laptop was easy to set-up, and I've had no problems to date.	laptop general	positive
My laptop was easy to set-up, and I've had no problems to date.	laptop usability	positive
Did not disappoint me at all.	laptop general	positive
Lenovo is the best laptop.	laptop general	positive
Built in mike is really poor and unusable for Skype or any other purpose.	multimedia devices quality	negative
Built in mike is really poor and unusable for Skype or any other purpose.	multimedia devices usability	negative
And the only microphone input is for a combo Mike/Speaker plug.	laptop design features	negative
So to communicate I need to wear ear plugs or a headset with a built-in mike.	laptop usability	negative
That's a nuisance for family Skype calls...only one can speak at a time.	laptop usability	negative
We haven't used it enough or had it long enough to give it 5 stars, but so far it has been a very good laptop.	laptop general	positive
Several other reviewers made comments on the keyboard and now I can understand why --- this keyboard is the nicest to use of any laptop we've ever owned.	keyboard usability	positive
I'm a life-long desktop computer user, and the keyboard on this laptop is as close to a "normal" keyboard as I've ever seen.	keyboard general	positive
We like this new laptop -- a lot!	laptop general	positive
Very good performer for the price.	laptop operation performance	positive
Very good performer for the price.	laptop price	neutral
Not blazing fast, but quick enough.	laptop operation performance	positive
One really nice thing about Lenovo laptops is that they are not cluttered with a bunch or trial software.	company general	positive
One really nice thing about Lenovo laptops is that they are not cluttered with a bunch or trial software.	laptop design features	positive
One really nice thing about Lenovo laptops is that they are not cluttered with a bunch or trial software.	software miscellaneous	positive
The desktop was clean once I got it up and running.	laptop design features	positive
Battery life is above average, and it charges quickly.	battery operation performance	positive
Keyboard is sturdy.	keyboard quality	positive
The touch pad takes a little getting used to as the "click" buttons are on top instead of the bottom.	mouse design features	neutral
The touch pad takes a little getting used to as the "click" buttons are on top instead of the bottom.	mouse usability	neutral
I will be considering Lenovo for all future laptop purchases.	company general	positive
This lap top is good so far.	laptop general	positive
It is quiet runs smoothly.	laptop operation performance	positive
It is quiet runs smoothly.	laptop quality	positive
I really like the video option on it, I stream movies on Amazon Prime and Netflix and there is no lag.	laptop design features	positive
I really like the video option on it, I stream movies on Amazon Prime and Netflix and there is no lag.	laptop operation performance	positive
The only negative would be that it gets pretty warm sitting on my lap for very long, but that is pretty much standard for all lop tops I think.	laptop quality	neutral
it stopped working 31 days after purchase.	laptop operation performance	negative
it stopped working 31 days after purchase.	laptop quality	negative
it was slow and might be problematic.	laptop general	negative
it was slow and might be problematic.	laptop operation performance	negative
i would shop around for a better one.	laptop general	negative
CRASHED only 2 days from getting it!!!!	laptop operation performance	negative
CRASHED only 2 days from getting it!!!!	laptop quality	negative
Says it is failing hard drive.	hard disc quality	negative
I should have bought something better.	laptop general	negative
The PC is works well with a good battery and a power cable, and has a web cam.	battery operation performance	positive
The PC is works well with a good battery and a power cable, and has a web cam.	laptop design features	positive
The PC is works well with a good battery and a power cable, and has a web cam.	laptop operation performance	positive
However, it does not have a DVD drive, neither does it afford one the opportunity to connect an external DVD drive as the manufacturer did not make any point ofconnection of an external drive.	laptop connectivity	negative
However, it does not have a DVD drive, neither does it afford one the opportunity to connect an external DVD drive as the manufacturer did not make any point ofconnection of an external drive.	laptop design features	negative
However, it does not have a DVD drive, neither does it afford one the opportunity to connect an external DVD drive as the manufacturer did not make any point ofconnection of an external drive.	laptop usability	negative
Other than a hate of windows 8, she just loves it.	laptop general	positive
Other than a hate of windows 8, she just loves it.	os general	negative
The plastic materials are rather cheap.	laptop quality	negative
LOVE IT!	laptop general	positive
NEEDS MORE INSTRUCTIONS WITH IT	laptop miscellaneous	negative
I'm very happy with my Acer, it does just for what I need it.	laptop general	positive
Even the sound is fantastic	multimedia devices quality	positive
I love this laptop.	laptop general	positive
Even my extremely tech savvy boyfriend was impressed with the features and sleek design.	laptop design features	positive
Although I've had it for less than a week, I am very satisfied.	laptop general	positive
Functions well.	laptop operation performance	positive
Does all that was advertised.	laptop general	positive
If it had a 4,5 star option, that is what I would give.	laptop general	positive
The build is perfect, the screen fantastic, but I do have a bit of a problem with the fact that I have to buy adaptors for nearly everything, from vga cables to ethernet cables, so, almost perfect...	display general	positive
The build is perfect, the screen fantastic, but I do have a bit of a problem with the fact that I have to buy adaptors for nearly everything, from vga cables to ethernet cables, so, almost perfect...	laptop connectivity	negative
The build is perfect, the screen fantastic, but I do have a bit of a problem with the fact that I have to buy adaptors for nearly everything, from vga cables to ethernet cables, so, almost perfect...	laptop quality	positive
The build is perfect, the screen fantastic, but I do have a bit of a problem with the fact that I have to buy adaptors for nearly everything, from vga cables to ethernet cables, so, almost perfect...	laptop usability	negative
1.Great display.	display general	positive
Love the color accuracy.	display quality	positive
2.Very decent speakers.	multimedia devices general	positive
3.Fairly fast.	laptop operation performance	positive
4.Loud fan when watching 4K video off YouTube.	fans cooling quality	negative
Sounds like a washer.	fans cooling quality	negative
Machine gets fairly hot near the bottom of the screen.	laptop quality	negative
Battery power laptop had difficulties computing.	laptop operation performance	negative
Battery power laptop had difficulties computing.	laptop usability	negative
6.Still feels too heavy to me.	laptop design features	negative
Could lose another pound or two.	laptop design features	negative
7.Expensive.	laptop price	negative
Paid close to $2800 out the door.	laptop price	negative
